S      , P      , R      , Lz , 3D   , erf  , sf   , ae   , resolution , t_sim, d_01 , d_05 , d_09 , f    , xi   , Ls   , volavg_enstrophy_Ls, volavg_enstrophy_CZ+PZ, volavg_fconv_Ls, volavg_velocity_Ls
1.0e+03, 1.0e+00, 4.0e+02, 2.0, True , True , False, False, 64x64x256  , 12347, 0.078, 0.112, 0.136, 0.810, 0.682, 1.000, 48.496 , 46.644 , 0.150, 0.618
1.0e+03, 2.0e+00, 4.0e+02, 2.0, True , True , False, False, 64x64x256  , 32057, 0.200, 0.230, 0.254, 0.749, 0.601, 1.022, 44.862 , 41.302 , 0.150, 0.639
1.0e+03, 4.0e+00, 4.0e+02, 2.0, True , True , False, False, 64x64x256  , 66557, 0.445, 0.472, 0.496, 0.668, 0.562, 1.044, 39.761 , 34.145 , 0.149, 0.619
1.0e+02, 4.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 5000 , 0.377, 0.505, 0.581, 0.654, 0.526, 1.044, 39.063 , 32.426 , 0.149, 0.617
3.0e+02, 4.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 5000 , 0.420, 0.477, 0.514, 0.663, 0.551, 1.044, 39.401 , 33.565 , 0.149, 0.618
1.0e+03, 1.0e-01, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 4561 , 0.017, 0.042, 0.069, 0.831, 0.769, 0.929, 50.417 , 49.611 , 0.152, 0.588
1.0e+03, 3.0e-01, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 4681 , 0.030, 0.064, 0.092, 0.814, 0.804, 0.960, 49.793 , 48.930 , 0.153, 0.620
1.0e+03, 1.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 3000 , 0.082, 0.116, 0.140, 0.804, 0.690, 1.000, 48.362 , 46.509 , 0.150, 0.624
1.0e+03, 2.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 5000 , 0.199, 0.228, 0.252, 0.750, 0.597, 1.022, 44.929 , 41.344 , 0.150, 0.638
1.0e+03, 4.0e+00, 2.5e+01, 2.0, True , True , False, True , 16x16x256  , 3000 , 0.321, 0.379, 0.437, 0.772, 0.274, 1.044, 2.880  , 2.263  , 0.149, 0.343
1.0e+03, 4.0e+00, 5.0e+01, 2.0, True , True , False, True , 32x32x256  , 3000 , 0.398, 0.442, 0.487, 0.732, 0.358, 1.044, 5.477  , 4.357  , 0.150, 0.423
1.0e+03, 4.0e+00, 1.0e+02, 2.0, True , True , False, True , 32x32x256  , 3000 , 0.469, 0.503, 0.534, 0.672, 0.464, 1.044, 10.017 , 8.197  , 0.149, 0.484
1.0e+03, 4.0e+00, 2.0e+02, 2.0, True , True , False, True , 64x64x256  , 3000 , 0.485, 0.515, 0.542, 0.648, 0.546, 1.044, 19.296 , 16.295 , 0.149, 0.548
1.0e+03, 4.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 5000 , 0.452, 0.480, 0.505, 0.667, 0.553, 1.044, 39.783 , 33.986 , 0.149, 0.617
1.0e+03, 4.0e+00, 8.0e+02, 2.0, True , True , False, True , 128x128x256, 3000 , 0.407, 0.434, 0.455, 0.689, 0.566, 1.044, 81.873 , 71.078 , 0.149, 0.678
1.0e+03, 4.0e+00, 1.6e+03, 2.0, True , True , False, True , 128x128x256, 3000 , 0.366, 0.397, 0.419, 0.709, 0.574, 1.044, 168.430, 147.849, 0.149, 0.720
1.0e+03, 4.0e+00, 3.2e+03, 2.0, True , True , False, True , 256x256x256, 3235 , 0.321, 0.358, 0.381, 0.723, 0.605, 1.044, 343.204, 306.924, 0.148, 0.746
1.0e+03, 4.0e+00, 6.4e+03, 2.0, True , True , False, True , 384x384x384, 414  , 0.277, 0.315, 0.335, 0.744, 0.605, 1.044, 709.871, 641.839, 0.149, 0.757
1.0e+03, 6.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x256  , 6000 , 0.620, 0.647, 0.667, 0.635, 0.532, 1.056, 37.456 , 30.663 , 0.147, 0.597
1.0e+03, 8.0e+00, 4.0e+02, 3.0, True , True , False, True , 128x128x512, 4357 , 0.732, 0.759, 0.779, 0.640, 0.481, 1.064, 37.649 , 29.382 , 0.147, 0.592
1.0e+03, 1.0e+01, 4.0e+02, 3.0, True , True , False, True , 128x128x512, 4226 , 0.858, 0.885, 0.904, 0.630, 0.453, 1.071, 36.995 , 27.720 , 0.147, 0.587
3.0e+03, 4.0e+00, 4.0e+02, 2.0, True , True , False, True , 64x64x512  , 1170 , 0.437, 0.454, 0.469, 0.672, 0.581, 1.045, 40.023 , 34.822 , 0.149, 0.619
1.0e+03, 4.0e+00, 5.0e+01, 2.0, True , True , True , True , 32x32x256  , 5000 , 0.435, 0.477, 0.516, 0.680, 0.418, 1.044, 5.026  , 4.057  , 0.148, 0.505
1.0e+03, 4.0e+00, 1.0e+02, 2.0, True , True , True , True , 32x32x256  , 5000 , 0.482, 0.516, 0.547, 0.638, 0.543, 1.044, 9.482  , 7.989  , 0.149, 0.573
1.0e+03, 4.0e+00, 2.0e+02, 2.0, True , True , True , True , 64x64x256  , 5000 , 0.490, 0.520, 0.547, 0.634, 0.589, 1.044, 18.885 , 16.207 , 0.149, 0.640
1.0e+03, 4.0e+00, 4.0e+02, 2.0, True , True , True , True , 64x64x256  , 8000 , 0.474, 0.502, 0.531, 0.651, 0.588, 1.044, 38.965 , 33.543 , 0.150, 0.693
